1,"BookTitle","Bahá’í Prayers","巴哈伊祈禱文","巴哈伊祈祷文"
62,"ExLogue","(TO BE RECITED DAILY, IN THE MORNING, AT NOON, AND IN THE EVENING)","（用於每日上午、中午和晚上時誦讀。）","（每日早上、中午和晚上吟诵）"
63,"ExLogue","(Whoso wisheth to pray, let him wash his hands, and while he washeth, let him say:)","（祈禱者須清洗雙手，於洗手時誦讀：）","（凡意欲祷告者，必先净手，期间吟诵：）"
64,"MainText","Strengthen my hand, O my God, that it may take hold of Thy Book with such steadfastness that the hosts of the world shall have no power over it. Guard it, then, from meddling with whatsoever doth not belong unto it. Thou art, verily, the Almighty, the Most Powerful.","我的上帝啊！使我的手堅定而穩健地緊握祢的聖書，以致世界之軍亦無力抗之。其後，守護它，以免它被任何不屬於它的事物所干擾。誠然，祢是全能者，至高掌權者。","我的上帝啊！让我的手更有力，以便坚定地紧握祢的圣书，使世俗之军无力掌控它。我要守护它，以免不相干之物将其扰动。诚然，祢是全能者，至能者。"
65,"ExLogue","(And while washing his face, let him say:)","（當他洗臉時，誦讀：）","（净脸，吟诵：）"
66,"MainText","I have turned my face unto Thee, O my Lord! Illumine it with the light of Thy countenance. Protect it, then, from turning to anyone but Thee.","我的主啊！我已面向祢，以祢聖容之光來照亮我的臉龐。繼之，保護它，以免它除祢之外轉向他人。","我的主啊！我已面向祢，请以祢圣容之光照耀我的脸庞，继而保护它，以免它脱离祢而转向他方。"
67,"ExLogue","(Then let him stand up, and facing the Qiblih (Point of Adoration, i.e. Bahjí, Akká), let him say:)","然後，讓他起身，並面向吉布勃利（崇拜之處，即阿卡城之巴基），誦唸：","（然后，祈祷者立身，面向吉卜利（崇拜朝向点，即阿卡巴吉），吟诵：）"
68,"MainText","God testifieth that there is none other God but Him. His are the kingdoms of Revelation and of creation. He, in truth, hath manifested Him Who is the Dayspring of Revelation, Who conversed on Sinai, through Whom the Supreme Horizon hath been made to shine, and the Lote-Tree beyond which there is no passing hath spoken, and through Whom the call hath been proclaimed unto all who are in heaven and on earth: ""Lo, the All-Possessing is come. Earth and heaven, glory and dominion are God’s, the Lord of all men, and the Possessor of the Throne on high and of earth below!""","上帝見證除祂之外別無上帝。啟示和創造之王國歸屬於祂。誠然，祂確已顯現了祂啟示之黎明，那在西奈山的交談者，經由祂，至高之地平線因而明亮，穿越祂即無曉喻之「導引路樹」，經由祂向天地萬物宣說：「看吧，萬物擁有者降臨了。地與天，榮耀與統權均屬於上帝，兆民之主，天界與地界之寶座的擁有者！」","上帝见证，除祂之外别无上帝。启示与创造之王国为祂所有。诚然，祂已显示了祂——那启示之源，那在西奈山与上帝恳谈者，崇高之地平线因祂而明亮，不可逾越之极界圣树也开了口，向天地万物宣言：“看哪，万有者已降临世间！祂统辖天地、荣耀、威权。祂是万民之主，天地御座之拥有者！”"
69,"ExLogue","(Let him, then, bend down, with hands resting on the knees, and say:)","（然後，讓他躬身，雙手分置於雙膝，誦讀：）","（祈祷者躬身，双手抚膝，然后吟诵：）"
70,"MainText","Exalted art Thou above my praise and the praise of anyone beside me, above my description and the description of all who are in heaven and all who are on earth!","祢是崇高的，超乎我的讚美和其他人的讚美，超乎我的描述和天上地下眾生的描述！","祢至为尊贵，远超于我与他人的赞美，天上地下任何人，都无法将祢描绘！"
71,"ExLogue","(Then, standing with open hands, palms upward toward the face, let him say:)","（然後站立著展開雙手，手心向上對著臉，誦讀：）","（祈祷者直起身来，摊开双手，掌心向上，对着面部，然后吟诵：）"
72,"MainText","Disappoint not, O my God, him that hath, with beseeching fingers, clung to the hem of Thy mercy and Thy grace, O Thou Who of those who show mercy art the Most Merciful!","我的上帝啊！勿使那已用祈求之指執緊祢慈悲與恩典之袍邊的他失望，祢是顯露慈悲者中之最慈悲者！","我的上帝啊！莫让他失望，他已用哀求之指紧执祢慈惠的袍边。祢是慈悲者中最为慈悲者！"
73,"ExLogue","(Let him, then, be seated and say:)","（然後讓他坐著，誦讀：）","（祈祷者坐下，然后吟诵：）"
74,"MainText","I bear witness to Thy unity and Thy oneness, and that Thou art God, and that there is none other God beside Thee. Thou hast, verily, revealed Thy Cause, fulfilled Thy Covenant, and opened wide the door of Thy grace to all that dwell in heaven and on earth. Blessing and peace, salutation and glory, rest upon Thy loved ones, whom the changes and chances of the world have not deterred from turning unto Thee, and who have given their all, in the hope of obtaining that which is with Thee. Thou art, in truth, the Ever-Forgiving, the All-Bountiful.","我自行見證祢的合一性與祢的一體性，祢是上帝，除祢之外別無上帝。誠然，祢已啟示了祢的聖道，履行了祢的聖約，並對天上地下的所有居民敞開了你恩寵之門。福佑與平安，敬意和榮耀歸於祢所鐘愛的人們，世間所有塵世的變幻未曾阻礙他們朝向祢，他們割捨一切，期盼能獲得接近祢的恩寵。誠然，祢是永恆寬恕者，至為寬仁者。","我见证祢的同一和唯一，祢是上帝，除祢之外别无上帝。祢确已启示了圣道，成全了祢的圣约，并对天上地下的居民，开启祢的恩宠之门。请把祝福、和平、问候和荣誉托付给祢所爱的人！虽尘世变幻莫测，皆未阻碍他们皈依祢。他们奉献一切，只望与祢同在。诚然，祢是永恒宽恕者，普施恩惠者。"
75,"ExLogue","(If anyone choose to recite instead of the long verse these words: ""God testifieth that there is none other God but Him, the Help in Peril, the Self-Subsisting,"" it would be sufficient. And likewise, it would suffice were he, while seated, to choose to recite these words: ""I bear witness to Thy unity and Thy oneness, and that Thou art God, and that there is none other God beside Thee."")","（如欲吟誦下文：「上帝證實說除祂之外別無上帝，祂是艱苦中的救難者，自有永有者，」以代替前段之長文亦可。或在就座時誦唸下文取代之：「我自行見證祢的合一性與祢的一體性，祢是上帝，除祢之外別無上帝。」）","（如欲吟诵下文：「上帝证实说除外别无上帝，是艰苦中的救难者，自有永有者」以代替前段之长文亦可。或者，当就座时可吟诵下文：「我自行见证祢的一致性和唯一性，祢是上帝，除祢之外别无上帝。」）"
76,"PassageAuthor","(Bahá’u’lláh)","（巴哈歐拉）","（巴哈欧拉）"
77,"SectionText","Long obligatory prayer","長篇必誦禱文","长篇必诵祷文"
78,"PassageNumber",5,5,5
79,"ExLogue","(TO BE RECITED ONCE IN TWENTY-FOUR HOURS)","（每二十四小時誦讀一次）","（每日吟诵一次）"
80,"ExLogue","(Whoso wisheth to recite this prayer, let him stand up and turn unto God, and, as he standeth in his place, let him gaze to the right and to the left, as if awaiting the mercy of his Lord, the Most Merciful, the Compassionate. Then let him say:)","（凡誦讀此篇禱文者，須起立面向上帝，當其起立時應凝視右方再凝視左方，有如等候他的主，那最慈悲者、憐憫者之慈悲，然後誦讀：）","（凡吟诵本祷文者须起身站立，面向上帝；在肃立时须从右向左环视，有如企盼主——至仁者、怜悯者——之慈悲。然后吟诵：）"
81,"MainText","O Thou Who art the Lord of all names and the Maker of the heavens! I beseech Thee by them Who are the Daysprings of Thine invisible Essence, the Most Exalted, the All-Glorious, to make of my prayer a fire that will burn away the veils which have shut me out from Thy beauty, and a light that will lead me unto the ocean of Thy Presence.","一切聖名之主及穹蒼之創造者的祢啊！奉祢那隱蔽之本質，最崇高者，至為榮耀者的曙光之名，我祈求祢使我的祈禱成為一把火焰，燃燒那使我和祢的聖美隔離的帷幕，成為一束光源，引領我到祢尊前的海洋。","祢是万名之主，祢创造了诸天！我借祢无形本质的启端，恳求祢这至尊者、无量荣耀者，让我的祈祷变成火焰，烧掉那妨碍我瞻仰祢圣美的帷帘；让我的祈祷化作一束光芒，指引我到达祢临在之汪洋。"
82,"ExLogue","(Let him then raise his hands in supplication toward God—blessed and exalted be He—and say:)","（隨後祈禱者舉起雙手懇求上帝｜那受福佑與推崇者｜，誦讀：）","（祈祷者举起双手祈求神圣而尊贵之上帝，然后吟诵：）"
83,"MainText","O Thou the Desire of the world and the Beloved of the nations! Thou seest me turning toward Thee, and rid of all attachment to anyone save Thee, and clinging to Thy cord, through whose movement the whole creation hath been stirred up. I am Thy servant, O my Lord, and the son of Thy servant. Behold me standing ready to do Thy will and Thy desire, and wishing naught else except Thy good pleasure. I implore Thee by the Ocean of Thy mercy and the Daystar of Thy grace to do with Thy servant as Thou willest and pleasest. By Thy might which is far above all mention and praise! Whatsoever is revealed by Thee is the desire of my heart and the beloved of my soul. O God, my God! Look not upon my hopes and my doings, nay rather look upon Thy will that hath encompassed the heavens and the earth. By Thy Most Great Name, O Thou Lord of all nations! I have desired only what Thou didst desire, and love only what Thou dost love.","世界之渴望與萬邦所鐘愛者的祢啊！祢見到我轉向祢，除祢之外超脫一切眷戀，並執緊那一搖曳便激盪整個造物界的衣帶。我的主啊！我是祢的僕役，亦是祢僕役之子。請看著我，堅定地準備執行祢的意旨和期望，除祢的喜悅外別無他求。我祈求祢，奉祢慈悲之洋和祢恩典之曙星，依祢之意，隨祢之欲來差遣祢的僕役。透過祢那超乎一切言辭和讚美的力量，祢所啟示的一切，都是我心之渴求，和我魂之所愛。上帝啊，我的上帝！勿在意我的希望和作為，不，寧願關注祢那已籠罩諸天與地的意旨。奉祢的至大聖名，萬邦之主的祢啊！我所渴求者為你所渴求，我所愛者為你所愛。","众望所归及万邦所爱者啊！请看我正在转向祢，超脱一切，唯祢是依，将祢那激荡宇宙万物之灵索紧握不弃。主啊，我是祢的仆役，也是祢仆役之子。看吧，我随时遵从祢的旨意，唯祢所好是从，别无他求。凭祢恩泽之海及宽宏之阳，我祈求祢随意差遣祢的仆役。凭祢那超乎任何颂扬及赞美之威力！凡祢启示者，皆为我灵所爱，我心所欲。上帝啊，我的上帝！请勿在意我的希望和我的作为，只关注祢统摄天地的圣意！万邦之主啊！凭祢的至大圣名，我所求者唯祢所望，我所爱者唯祢所冀。"
84,"ExLogue","(Let him then kneel, and bowing his forehead to the ground, let him say:)","（然後祈禱者跪下，前額觸地，誦讀：）","（祈祷者躬身下跪，额首触地，然后吟诵：）"
85,"MainText","Exalted art Thou above the description of anyone save Thyself, and the comprehension of aught else except Thee.","祢之崇高，除祢之外無人能描述，無人能領悟。","祢至尊无上，除祢之外，无人能理解，无人可描绘。"
86,"ExLogue","(Let him then stand and say:)","（隨後起立誦讀：）","（祈祷者起身肃立，然后吟诵：）"
87,"MainText","Make my prayer, O my Lord, a fountain of living waters whereby I may live as long as Thy sovereignty endureth, and may make mention of Thee in every world of Thy worlds.","我的主啊！使我的祈禱成為活水之泉，使我能與祢的統權共存，並在祢萬千世界之每個世界念記祢。","我的主啊！让我的祈祷成为生命的泉水，使我能与祢的王国共存，在祢的万千世界颂赞祢。"
88,"ExLogue","(Let him again raise his hands in supplication, and say:)","（然後祈禱者再度高舉雙手懇求，誦讀：）","（祈祷者再次举起双手以示祈求，然后吟诵：）"
89,"MainText","O Thou in separation from Whom hearts and souls have melted, and by the fire of Whose love the whole world hath been set aflame! I implore Thee by Thy Name through which Thou hast subdued the whole creation, not to withhold from me that which is with Thee, O Thou Who rulest over all men! Thou seest, O my Lord, this stranger hastening to his most exalted home beneath the canopy of Thy majesty and within the precincts of Thy mercy; and this transgressor seeking the ocean of Thy forgiveness; and this lowly one the court of Thy glory; and this poor creature the orient of Thy wealth. Thine is the authority to command whatsoever Thou willest. I bear witness that Thou art to be praised in Thy doings, and to be obeyed in Thy behests, and to remain unconstrained in Thy bidding.","一脫離，人的心及魂立即消溶的祢啊，憑藉著祢點燃全世界的愛之火！我懇求祢，奉祢那折服整個創造界的聖名，勿剝奪祢所賜予我的。統治全人類的祢啊！我的主啊！祢見到這異鄉人正奔赴他那位於祢莊嚴華蓋和慈悲領域中的至高家園；這犯罪者正尋覓祢寬恕之洋；這卑微者尋求祢榮耀之殿；這貧窮者找尋祢富裕之源。祢有權依祢所欲駕馭一切。我見証祢的聖行當受讚美，祢的誡命當受服從，祢的吩咐不受束縛。","主啊！人的心和灵与祢分离，就必定消亡；凡尘俗世有了祢的爱火，就必定熊熊燃烧！全人类之主宰啊！凭祢征服万物的圣名，请把祢的一切惠赐我，不要拒绝我的热望。我的主啊，看吧，我这陌生人正赶赴至高归宿——这里有祢威权华盖，有祢慈悲圣域。我这罪人，正谋求祢宽恕之汪洋；我这卑微者，正寻觅祢荣耀圣堂；我这贫穷者，正探求祢宏富宝藏。祢随心所欲，统御万物，威权独享。我见证：祢的作为皆受赞美，祢的谕令必得服从，祢的吩咐不得违忤。"
90,"ExLogue","(Let him then raise his hands, and repeat three times the Greatest Name ""Alláh-u-Abhá"". Let him then bend down with hands resting on the knees before God—blessed and exalted be He—and say:)","（然後祈禱者舉起雙手，連頌「至大聖名」（阿拉胡—阿卜哈，ALLÁH-U-ABHÁ）三遍，然後向上帝—祂是福佑者，受推崇者—躬身，雙手分置雙膝，誦讀：）","（祈祷者高举双手，吟唱“至大圣名”（阿拉胡—阿卜哈，ALLÁH-U-ABHÁ）三遍。接着双手置于膝部，向神圣而尊贵之上帝鞠躬，然后吟诵：）"
91,"MainText","Thou seest, O my God, how my spirit hath been stirred up within my limbs and members, in its longing to worship Thee, and in its yearning to remember Thee and extol Thee; how it testifieth to that whereunto the Tongue of Thy Commandment hath testified in the kingdom of Thine utterance and the heaven of Thy knowledge. I love, in this state, O my Lord, to beg of Thee all that is with Thee, that I may demonstrate my poverty, and magnify Thy bounty and Thy riches, and may declare my powerlessness, and manifest Thy power and Thy might.","我的上帝啊！在崇拜祢的渴望中，在記念和頌揚祢的殷望中，祢見到我的精神，是如何在我四肢百骸中激盪；祢誡命之舌已見証祢話語之國與知識之天。在此境界中，我的主啊，我向祢祈求你所擁有的一切，藉以表明我的貧窮並彰顯祢的宏恩與富裕，顯明我的無能以顯露祢的權柄與威力。","我的上帝啊，祢看到，由于崇拜、念记和颂扬祢之渴望，我的灵在肢体内何等激昂；我的灵又如何见证：祢的诫命之舌在祢的宣说王国和知识天堂里已经证明的一切。我的主啊，在此情况下，我祈求祢所拥有的一切，借此表明我的贫穷，颂赞祢的宏恩及富有；借此宣告我的无力，彰显祢的威权大能。"
92,"ExLogue","(Let him then stand and raise his hands twice in supplication, and say:)","（然後祈禱者起立，高舉雙手兩次以示懇求，誦讀：）","（祈祷者起身站立，高举双手两次以示祈求，然后吟诵：）"
93,"MainText","There is no God but Thee, the Almighty, the All-Bountiful. There is no God but Thee, the Ordainer, both in the beginning and in the end. O God, my God! Thy forgiveness hath emboldened me, and Thy mercy hath strengthened me, and Thy call hath awakened me, and Thy grace hath raised me up and led me unto Thee. Who, otherwise, am I that I should dare to stand at the gate of the city of Thy nearness, or set my face toward the lights that are shining from the heaven of Thy will? Thou seest, O my Lord, this wretched creature knocking at the door of Thy grace, and this evanescent soul seeking the river of everlasting life from the hands of Thy bounty. Thine is the command at all times, O Thou Who art the Lord of all names; and mine is resignation and willing submission to Thy will, O Creator of the heavens!","除祢之外別無上帝，祢是全能者，博施濟眾者。除祢之外別無上帝，祢是起始與終結之命定者。上帝啊，我的上帝！祢的寬恕賦予我勇氣，祢的慈悲使我堅強，祢的呼喚令我覺醒，祢的恩寵已提昇並引領我來到祢尊前。否則，憑我何敢立於祢臨在之城門，何敢轉臉朝向祢意旨之天所散射之光？我的主啊，祢見到這可憐的生靈正輕叩祢恩典之門，這短暫的靈魂正尋覓祢恩寵之手所授予的永生之河。祢是歷代之令諭者，祢是所有名號之主；而我是祢旨意的自願臣服者，諸天之創造者啊！","除祢之外别无上帝；祢是全能者，万恩者。除祢之外别无上帝；祢命定了起始和终极。上帝啊，我的上帝！祢的宽宏让我勇气倍增，祢的仁慈让我更加坚毅，祢的召唤使我觉醒，祢的恩典将我哺育，并引导我奔向祢。不然，我怎敢在祢亲临之城的门前站立？！怎敢面对祢圣意天国发出的光辉？！我的主啊，看哪，这可怜的造物正叩响祢的恩典之门，这生命短暂的人正在苦苦寻觅，探求祢慷慨之手赐予的永生河水。万名之主啊，千秋万代，唯祢统御；诸天之创造者啊，我对祢心悦诚服，甘愿遵从祢的旨意。"
94,"ExLogue","(Let him then raise his hands thrice, and say:)","（然後祈禱者高舉雙手三次，誦讀：）","（祈祷者高举双手三次，然后吟诵：）"
95,"MainText","Greater is God than every great one!","上帝較任何偉者更為偉大！","上帝乃大者之中至大者！"
96,"ExLogue","(Let him then kneel and, bowing his forehead to the ground, say:)","（然後祈禱者曲膝下跪前額觸地，誦讀：）","（祈祷者躬身下跪，额首触地，然后吟诵：）"
97,"MainText","Too high art Thou for the praise of those who are nigh unto Thee to ascend unto the heaven of Thy nearness, or for the birds of the hearts of them who are devoted to Thee to attain to the door of Thy gate. I testify that Thou hast been sanctified above all attributes and holy above all names. No God is there but Thee, the Most Exalted, the All-Glorious.","祢是如此崇高，以致那些親近祢者的讚美也無法上昇至祢臨在之天，那些忠貞於祢的似鳥之心，亦難飛近祢的門前。我見證，祢之聖化已超乎一切屬性，高乎所有名號。除祢之外別無上帝，祢是至為最崇高者，最榮耀者。","祢至高无上，向往祢者的颂歌无法企及祢亲在之天堂；忠诚于祢的心灵之鸟难以飞进祢神圣的门窗。我见证：祢神圣，超乎一切属性；祢显赫，高于所有名号。祢乃至尊者，无量荣耀者，除祢之外别无上帝。"
98,"ExLogue","(Let him then seat himself and say:)","（然後祈禱者起身就座，誦讀：）","（祈祷者起身就坐，然后吟诵：）"
99,"MainText","I testify unto that whereunto have testified all created things, and the Concourse on high, and the inmates of the all-highest Paradise, and beyond them the Tongue of Grandeur itself from the all-glorious Horizon, that Thou art God, that there is no God but Thee, and that He Who hath been manifested is the Hidden Mystery, the Treasured Symbol, through Whom the letters B and E (Be) have been joined and knit together. I testify that it is He Whose name hath been set down by the Pen of the Most High, and Who hath been mentioned in the Books of God, the Lord of the Throne on high and of earth below.","我對那凡以證實的造物，上天的眾靈，最高樂園的居民，來自最榮耀天際的尊貴之舌本身見証，祢是上帝，除祢之外別無上帝，那已被顯示的祂乃是隱藏之奧秘，珍藏之象徵，經由祂，「創」「生」二字得以連結。我見証，祂的名乃是那至高之筆所記載的，乃是天上地下寶座之主的聖書所提及的。","我与万有造物、上天众灵、至高乐园之居民、来自万荣圣域的庄严之舌本身同证明：祢是上帝，除祢之外别无上帝。那显现者便是隐蔽之奥秘、珍藏之标记，经由祂，“创”“生”二字得以联结，合为一体。我作证，至高者圣笔书写的正是祂的圣名，天地御座之主——上帝的圣书已经将祂铭记。"
100,"ExLogue","(Let him then stand erect and say:)","（然後祈禱者起身立正，誦讀：）","（祈祷者起身肃立，然后吟诵：）"
101,"MainText","O Lord of all being and Possessor of all things visible and invisible! Thou dost perceive my tears and the sighs I utter, and hearest my groaning, and my wailing, and the lamentation of my heart. By Thy might! My trespasses have kept me back from drawing nigh unto Thee; and my sins have held me far from the court of Thy holiness. Thy love, O my Lord, hath enriched me, and separation from Thee hath destroyed me, and remoteness from Thee hath consumed me. I entreat Thee by Thy footsteps in this wilderness, and by the words ""Here am I. Here am I"" which Thy chosen Ones have uttered in this immensity, and by the breaths of Thy Revelation, and the gentle winds of the Dawn of Thy Manifestation, to ordain that I may gaze on Thy beauty and observe whatsoever is in Thy Book.","眾生之主啊！有形與無形萬物的所有者啊！祢已覺察到我的淚水和我的嗟嘆，聽見了我的呻吟，哀號和內心的悲慟。經由祢的威力！我的過失阻礙了我接近祢，我的罪行使我遠離祢的聖殿。我的主啊！祢的愛已使我富足，而與祢分離使我毀滅，遠離祢使我憔悴。我祈求祢，經由祢在這曠野中的足跡，祢揀選者在這寰宇的呼喊｜我在此，我在此，經由祢啟示的氣息，以及祢顯聖者之黎明的微風，命定我得以凝視祢的聖美，並遵行祢的聖書中的所有誡命。","众生之主啊，有形与无形之万物的拥有者！祢确然明察我的泪水和叹息，听闻我的呻吟、恸哭和内心的悲戚。以祢的威权为证！我的过失妨碍我亲近祢；我的罪恶使我与祢的圣庭疏离。我的主啊，祢的慈爱使我充裕，与祢分隔使我幻灭，与祢远离使我崩溃。我恳请祢，借祢在此荒野之足迹，经祢拣选者在此广宇之呼吁“我在此地！我在此地”，借祢天启之气息，以及天启黎明之和风，恩准我瞻仰祢的圣美，恪守祢圣书的教谕。"
102,"ExLogue","(Let him then repeat the Greatest Name thrice, and bend down with hands resting on the knees, and say:)","（然後祈禱者唸「至大聖名」三遍，躬身，並將雙手分置雙膝，誦讀：）","（祈祷者吟唱至大圣名三遍，俯身鞠躬，双手抚膝，然后吟诵：）"
103,"MainText","Praise be to Thee, O my God, that Thou hast aided me to remember Thee and to praise Thee, and hast made known unto me Him Who is the Dayspring of Thy signs, and hast caused me to bow down before Thy Lordship, and humble myself before Thy Godhead, and to acknowledge that which hath been uttered by the Tongue of Thy grandeur.","我的上帝啊，讚美歸於祢，祢已惠助我使我記憶祢，讚美祢，並使我認知祢所有表徵的曙光之源，使我在祢主宰地位前躬身，在祢神格前謙遜，並承認祢莊嚴之舌所宣說之話語。","我的上帝啊，赞美归于祢。祢惠助我念记并颂扬祢，使我认明祂是祢征象之启端，使我对祢的威权臣服，对祢的神性谦卑，对祢庄严之舌的宣说全然认同。"
104,"ExLogue","(Let him then rise and say:)","（然後起身，誦讀：）","（祈祷者起身，然后吟诵：）"
105,"MainText","O God, my God! My back is bowed by the burden of my sins, and my heedlessness hath destroyed me. Whenever I ponder my evil doings and Thy benevolence, my heart melteth within me, and my blood boileth in my veins. By Thy Beauty, O Thou the Desire of the world! I blush to life up my face to Thee, and my longing hands are ashamed to stretch forth toward the heaven of Thy bounty. Thou seest, O my God, how my tears prevent me from remembering Thee and from extolling Thy virtues, O Thou the Lord of the Throne on high and of earth below! I implore Thee by the signs of Thy Kingdom and the mysteries of Thy Dominion to do with Thy loved ones as becometh Thy bounty, O Lord of all being, and is worthy of Thy grace, O King of the seen and the unseen!","上帝啊，我的上帝！我的背脊因罪過的負荷而彎曲，我的疏忽毀滅了我。每當我想到我的妄為和祢的慈悲時，我的心便在我的內在軟化，我的血便在我的血管沸騰。經由祢的聖美，全世界之渴求者的祢啊！我無顏仰望祢，我渴望的雙手羞於伸向祢恩寵之天。我的上帝啊，祢見到我的淚水如何阻礙我記憶祢，並頌揚祢的聖德，天上地下寶座之主的祢啊！我祈求祢，經由祢天國的徵象，和祢統權的奧秘，使祢的鐘愛者，適得你的恩寵，萬物之主啊，令他們得蒙祢的恩典，可見與不可見萬物之王啊！","上帝啊，我的上帝！我的罪恶重负压弯了我的脊背；我的疏失已经使我崩溃。每当想起自己的妄为和祢的慈悲，我便热血沸腾、感动万分。众望所归的祢啊！凭祢的圣美，我对祢无颜仰视，我渴望的双手啊，也羞于向祢的恩宠之天伸去。我的上帝啊，看吧，我的泪水如何妨碍我念记祢，影响我颂扬祢的圣德之美。天地御座之主啊！我恳请祢，借祢天国之征象，以祢统权之奥秘，慷慨善待祢钟爱的人类。万物之主啊，可见与不可见者之王！愿他们都配受祢的恩惠。"
106,"ExLogue","(Let him then repeat the Greatest Name thrice, and kneel with his forehead to the ground, and say:)","（然後祈禱者唸「至大聖名」三遍，下跪前額觸地，誦讀：）","（祈祷者吟唱至大圣名三遍，接着躬身下跪，额首触地，然后吟诵：）"
107,"MainText","Praise be unto Thee, O our God, that Thou hast sent down unto us that which draweth us nigh unto Thee, and supplieth us with every good thing sent down by Thee in Thy Books and Thy Scriptures. Protect us, we beseech Thee, O my Lord, from the hosts of idle fancies and vain imaginations. Thou, in truth, art the Mighty, the All-Knowing.","讚美歸於祢，我們的上帝啊！祢已降賜那引導我們接近祢，並在祢頒下的聖書和聖典中供給我們一切美好的事物。我的主啊！我們祈求祢保護我們，使我脫離所有無用的幻想，和徒然的妄念。誠然！祢是全能者，全知者。","赞美归于祢，我们的上帝啊！祢已降赐恩惠，引导我们亲近祢；祢在圣书和经典里，供给我们各样佳美。我的主啊，恳求祢保佑我们，使我们摆脱幻念与空想，确然，祢是大能者，全知的上帝。"
108,"ExLogue","(Let him then raise his head, and seat himself, and say:)","（然後祈禱者抬頭起座，誦讀：）","（祈祷者起身就坐，然后吟诵：）"
