1,"BookTitle","The Hidden Words ","隐言经","隱言經"
47,"MainText","I created thee rich, why dost thou bring thyself down to poverty? Noble I made thee, wherewith dost thou abase thyself? Out of the essence of knowledge I gave thee being, why seekest thou enlightenment from anyone beside Me? Out of the clay of love I molded thee, how dost thou busy thyself with another? Turn thy sight unto thyself, that thou mayest find Me standing within thee, mighty, powerful and self-subsisting. ","我以富足创造了你，你为什麽自降於贫穷？我以高洁创造了你，你为什麽自趋於下流？我从智慧的精粹里赋予你生命，你为什麽舍弃我另向别处寻求启蒙呢？我用慈爱之土塑造了你，你为什麽反为外物而劳碌？把眼光转向自己，你会在自己里面找到我，全能的，全权的，自有永有的。","我以富足創造了你，你為什麼自降於貧窮？我以高潔創造了你，你為什麼自趨於下流？我從智慧的精粹裡賦予你生命，你為什麼捨棄我另向別處尋求啟蒙呢？我用慈愛之土塑造了你，你為什麼反為外物而勞碌？把眼光轉向自己，你會在自己裡面找到我，全能的，全權的，自有永有的。"
48,"PassageNumber",14,14,14
49,"Invocation","O Son of Man! ","人子啊！","人子啊！"
50,"MainText","Thou art My dominion and My dominion perisheth not; wherefore fearest thou thy perishing? Thou art My light and My light shall never be extinguished; why dost thou dread extinction? Thou art My glory and My glory fadeth not; thou art My robe and My robe shall never be outworn. Abide then in thy love for Me, that thou mayest find Me in the realm of glory. ","你是我的国土，而我的国土永不灭亡，你为什麽还怕灭亡呢？你是我的荣光，而我的荣光永不熄灭，你为什麽还怕熄灭呢？你是我的荣耀，而我的荣耀永不凋谢；你是我的袍服，而我的袍服永不破蔽。安住在你对我的爱里，你便能在荣光之境中见到我。 ","你是我的國土，而我的國土永不滅亡，你為什麼還怕滅亡呢？你是我的榮光，而我的榮光永不熄滅，你為什麼還怕熄滅呢？你是我的榮耀，而我的榮耀永不凋謝；你是我的袍服，而我的袍服永不破蔽。安住在你對我的愛裡，你便能在榮光之境中見到我。 "
51,"PassageNumber",15,15,15
52,"Invocation","O Son of Utterance! ","宣说之子啊！","宣說之子啊！"
53,"MainText","Turn thy face unto Mine and renounce all save Me; for My sovereignty endureth and My dominion perisheth not. If thou seekest another than Me, yea, if thou searchest the universe forevermore, thy quest will be in vain. ","把你的脸转向我，除我之外舍弃一切，因为我的权威是永存的，而我的国土是不灭的。如果你舍我而他求，尽管你永远地遍寻宇宙，你的探寻也是徒劳。 ","把你的臉轉向我，除我之外捨棄一切，因為我的權威是永存的，而我的國土是不滅的。如果你捨我而他求，儘管你永遠地遍尋宇宙，你的探尋也是徒勞。 "
54,"PassageNumber",16,16,16
55,"Invocation","O Son of Light! ","荣光之子啊！","榮光之子啊！"
56,"MainText","Forget all save Me and commune with My spirit. This is of the essence of My command, therefore turn unto it. ","除了我，忘记一切并与我灵交。这乃是我诫命的精华，转向它吧。","除了我，忘記一切並與我靈交。這乃是我誡命的精華，轉向它吧。"
57,"PassageNumber",17,17,17
58,"Invocation","O Son of Man! ","人子啊！","人子啊！"
59,"MainText","Be thou content with Me and seek no other helper. For none but Me can ever suffice thee. ","对我你要满足，不要另寻救助，除我之外，永远没有能满足你的。","對我你要滿足，不要另尋救助，除我之外，永遠沒有能滿足你的。"
60,"PassageNumber",18,18,18
61,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
62,"MainText","Ask not of Me that which We desire not for thee, then be content with what We have ordained for thy sake, for this is that which profiteth thee, if therewith thou dost content thyself. ","凡不是我所希望於你的，别向我祈求。从而满足於我所赋予你的。因为，如果你能恬然自足，那是对你有益的。 ","凡不是我所希望於你的，別向我祈求。從而滿足於我所賦予你的。因為，如果你能恬然自足，那是對你有益的。 "
63,"PassageNumber",19,19,19
64,"Invocation","O Son of the Wondrous Vision! ","异像之子啊！","異像之子啊！"
65,"MainText","I have breathed within thee a breath of My own Spirit, that thou mayest be My lover. Why hast thou forsaken Me and sought a beloved other than Me? ","我已把我自己的灵气吹给了你，让你能为我所爱。为什麽你要舍弃我而另寻所爱呢？ ","我已把我自己的靈氣吹給了你，讓你能為我所愛。為什麼你要捨棄我而另尋所愛呢？ "
66,"PassageNumber",20,20,20
67,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
68,"MainText","My claim on thee is great, it cannot be forgotten. My grace to thee is plenteous, it cannot be veiled. My love has made in thee its home, it cannot be concealed. My light is manifest to thee, it cannot be obscured. ","我对你的期望很大，不可忘怀。我对你的恩惠优厚，不可掩覆。我的爱已以你为家，不可隐藏。我的荣光显示於你，不可蒙蔽。 ","我對你的期望很大，不可忘懷。我對你的恩惠優厚，不可掩覆。我的愛已以你為家，不可隱藏。我的榮光顯示於你，不可蒙蔽。 "
69,"PassageNumber",21,21,21
70,"Invocation","O Son of Man! ","人子啊！","人子啊！"
71,"MainText","Upon the tree of effulgent glory I have hung for thee the choicest fruits, wherefore hast thou turned away and contented thyself with that which is less good? Return then unto that which is better for thee in the realm on high. ","在那璀璨光耀的树上，我为你挂上了精选的美果，为何你离它而去，反满足於那次优的呢？回到那为你好的天国来吧。 ","在那璀璨光耀的樹上，我為你掛上了精選的美果，為何你離它而去，反滿足於那次優的呢？回到那為你好的天國來吧。 "
72,"PassageNumber",22,22,22
73,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
74,"MainText","Noble have I created thee, yet thou hast abased thyself. Rise then unto that for which thou wast created. ","我创造你本来是高尚的，可是你却自甘卑下。起来吧，转向那原为你而创造的。 ","我創造你本來是高尚的，可是你卻自甘卑下。起來吧，轉向那原為你而創造的。 "
75,"PassageNumber",23,23,23
76,"Invocation","O Son of the Supreme! ","崇高之子啊！","崇高之子啊！"
77,"MainText","To the eternal I call thee, yet thou dost seek that which perisheth. What hath made thee turn away from Our desire and seek thine own? ","我召唤你走向永生，可是你却追求灭亡。是什麽让你背弃我的期望而只顾追求自己的？ ","我召喚你走向永生，可是你卻追求滅亡。是什麼讓你背棄我的期望而只顧追求自己的？ "
78,"PassageNumber",24,24,24
79,"Invocation","O Son of Man! ","人子啊！","人子啊！"
80,"MainText","Transgress not thy limits, nor claim that which beseemeth thee not. Prostrate thyself before the countenance of thy God, the Lord of might and power. ","不要踰越你的界限，不要希求那不适於你的。俯伏在上帝圣容之前，那至高权能的主。 ","不要踰越你的界限，不要希求那不適於你的。俯伏在上帝聖容之前，那至高權能的主。 "
81,"PassageNumber",25,25,25
82,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
83,"MainText","Vaunt not thyself over the poor, for I lead him on his way and behold thee in thy evil plight and confound thee forevermore. ","不要傲视穷苦的人，因为我已在其途径上引导他，但见你却困於邪恶之境，永陷狼狈之中。 ","不要傲視窮苦的人，因為我已在其途徑上引導他，但見你卻困於邪惡之境，永陷狼狽之中。 "
84,"PassageNumber",26,26,26
85,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
86,"MainText","How couldst thou forget thine own faults and busy thyself with the faults of others? Whoso doeth this is accursed of Me. ","你怎能忘记自己的过失而忙着别人的疵病？凡这样做的，要为我所诅咒。","你怎能忘記自己的過失而忙著別人的疵病？凡這樣做的，要為我所詛咒。"
87,"PassageNumber",27,27,27
88,"Invocation","O Son of Man! ","人子啊！","人子啊！"
89,"MainText","Breathe not the sins of others so long as thou art thyself a sinner. Shouldst thou transgress this command, accursed wouldst thou be, and to this I bear witness. ","只要你自己还是罪人，就别吹求别人的罪过。如果违背这个诫命，你将受诅咒，我为此作证。 ","只要你自己還是罪人，就別吹求別人的罪過。如果違背這個誡命，你將受詛咒，我為此作證。 "
90,"PassageNumber",28,28,28
91,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
92,"MainText","Know thou of a truth: He that biddeth men be just and himself committeth iniquity is not of Me, even though he bear My name. ","你该明白这个真理：凡是叫别人遵循公义而自己却胡作非为的，都不是属於我的，尽管他奉我的名。 ","你該明白這個真理：凡是叫別人遵循公義而自己卻胡作非為的，都不是屬於我的，儘管他奉我的名。 "
93,"PassageNumber",29,29,29
94,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
95,"MainText","Ascribe not to any soul that which thou wouldst not have ascribed to thee, and say not that which thou doest not. This is My command unto thee, do thou observe it. ","凡你不愿让别人归罪於你的，不要归罪於别人。凡你所不能做到的，不要去说它。这是我的诫命，你当遵守不渝。 ","凡你不願讓別人歸罪於你的，不要歸罪於別人。凡你所不能做到的，不要去說它。這是我的誡命，你當遵守不渝。 "
96,"PassageNumber",30,30,30
97,"Invocation","O Son of Man! ","人子啊！","人子啊！"
98,"MainText","Deny not My servant should he ask anything from thee, for his face is My face; be then abashed before Me. ","如果我的仆人有求於你别拒绝他，因为他的面子就是我的面子；拒绝了他，在我面前你将羞愧不安。 ","如果我的僕人有求於你別拒絕他，因為他的面子就是我的面子；拒絕了他，在我面前你將羞愧不安。 "
99,"PassageNumber",31,31,31
100,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
101,"MainText","Bring thyself to account each day ere thou art summoned to a reckoning; for death, unheralded, shall come upon thee and thou shalt be called to give account for thy deeds. ","在你尚未被宠召之前，要每天检讨自己。因为死亡是不预先报信的，倘它到临，你将为你一生的作为做总结。 ","在你尚未被寵召之前，要每天檢討自己。因為死亡是不預先報信的，倘它到臨，你將為你一生的作為做總結。 "
102,"PassageNumber",32,32,32
103,"Invocation","O Son of the Supreme! ","崇高之子啊！","崇高之子啊！"
104,"MainText","I have made death a messenger of joy to thee. Wherefore dost thou grieve? I made the light to shed on thee its splendor. Why dost thou veil thyself therefrom? ","我已让死亡做那报喜讯的使者，你为何忧惧？我已让荣光璀璨地照耀你，你为何把自己遮蔽起来？ ","我已讓死亡做那報喜訊的使者，你為何憂懼？我已讓榮光璀璨地照耀你，你為何把自己遮蔽起來？ "
105,"PassageNumber",33,33,33
106,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
107,"MainText","With the joyful tidings of light I hail thee: rejoice! To the court of holiness I summon thee; abide therein that thou mayest live in peace forevermore. ","我以光辉的喜讯向你欢呼，快乐吧！我召唤你到神圣天庭，居此，你将永远活在平安里。 ","我以光輝的喜訊向你歡呼，快樂吧！我召喚你到神聖天庭，居此，你將永遠活在平安裡。 "
108,"PassageNumber",34,34,34
109,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
110,"MainText","The spirit of holiness beareth unto thee the joyful tidings of reunion; wherefore dost thou grieve? The spirit of power confirmeth thee in His cause; why dost thou veil thyself? The light of His countenance doth lead thee; how canst thou go astray? ","圣灵把重聚的佳音带给你；你为什麽忧愁？权柄的神灵使你在圣道里坚强，你为什麽要障蔽自己？祂圣容的光辉引导你，你怎会迷途？ ","聖靈把重聚的佳音帶給你；你為什麼憂愁？權柄的神靈使你在聖道裡堅強，你為什麼要障蔽自己？祂聖容的光輝引導你，你怎會迷途？ "
111,"PassageNumber",35,35,35
112,"Invocation","O Son of Man! ","人子啊！","人子啊！"
113,"MainText","Sorrow not save that thou art far from Us. Rejoice not save that thou art drawing near and returning unto Us. ","除非你远离了我们，不要忧愁。除非你回头接近我们，不要欢喜。 ","除非你遠離了我們，不要憂愁。除非你回頭接近我們，不要歡喜。 "
114,"PassageNumber",36,36,36
115,"Invocation","O Son of Man! ","人子啊！","人子啊！"
116,"MainText","Rejoice in the gladness of thine heart, that thou mayest be worthy to meet Me and to mirror forth My beauty. ","你心中要欢喜快乐，好让你值以见我；并映现我的圣美。 ","你心中要歡喜快樂，好讓你值以見我；並映現我的聖美。 "
117,"PassageNumber",37,37,37
118,"Invocation","O Son of Man! ","人子啊！","人子啊！"
119,"MainText","Divest not thyself of My beauteous robe, and forfeit not thy portion from My wondrous fountain, lest thou shouldst thirst forevermore. ","不要脱去我圣美的衣袍，不要丧失那份我本来要分给你的奇妙泉源。否则，你将永远乾渴。 ","不要脫去我聖美的衣袍，不要喪失那份我本來要分給你的奇妙泉源。否則，你將永遠乾渴。 "
120,"PassageNumber",38,38,38
121,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
122,"MainText","Walk in My statutes for love of Me and deny thyself that which thou desirest if thou seekest My pleasure. ","为了我的爱，行我律法之道，如果你要寻求我的喜悦，得舍弃你自己的私欲。 ","為了我的愛，行我律法之道，如果你要尋求我的喜悅，得捨棄你自己的私慾。 "
123,"PassageNumber",39,39,39
124,"Invocation","O Son of Man! ","人子啊！","人子啊！"
125,"MainText","Neglect not My commandments if thou lovest My beauty, and forget not My counsels if thou wouldst attain My good pleasure. ","如果你爱我的圣美，就别忽视我的诫命。如果你要得到我的喜悦，就别忘了我的训诫。 ","如果你愛我的聖美，就別忽視我的誡命。如果你要得到我的喜悅，就別忘了我的訓誡。 "
126,"PassageNumber",40,40,40
127,"Invocation","O Son of Man! ","人子啊！","人子啊！"
128,"MainText","Wert thou to speed through the immensity of space and traverse the expanse of heaven, yet thou wouldst find no rest save in submission to Our command and humbleness before Our Face. ","除非你服从我们的诫命，谦卑的到我们面前，就算你遍历那无边的太空，遨游那无尽的天宇，也找不着平安。 ","除非你服從我們的誡命，謙卑的到我們面前，就算你遍歷那無邊的太空，遨遊那無盡的天宇，也找不著平安。 "
129,"PassageNumber",41,41,41
130,"Invocation","O Son of Man! ","人子啊！","人子啊！"
131,"MainText","Magnify My cause that I may reveal unto thee the mysteries of My greatness and shine upon thee with the light of eternity. ","光大我的道，使我能将伟大的奥秘启示给你，并将永生之荣光照耀着你。","光大我的道，使我能將偉大的奧秘啟示給你，並將永生之榮光照耀著你。"
132,"PassageNumber",42,42,42
133,"Invocation","O Son of Man! ","人子啊！","人子啊！"
134,"MainText","Humble thyself before Me, that I may graciously visit thee. Arise for the triumph of My cause, that while yet on earth thou mayest obtain the victory. ","谦逊地到我面前，使我得以临幸你。为我圣道之胜利而奋起，使你在这世间得获成功。 ","謙遜地到我面前，使我得以臨幸你。為我聖道之勝利而奮起，使你在這世間得獲成功。 "
135,"PassageNumber",43,43,43
136,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
137,"MainText","Make mention of Me on My earth, that in My heaven I may remember thee, thus shall Mine eyes and thine be solaced. ","在我的大地上，赞美我，则在我的天庭处，我得以惦记着你，如此我和你的眼睛便都能得到安慰了。 ","在我的大地上，讚美我，則在我的天庭處，我得以惦記著你，如此我和你的眼睛便都能得到安慰了。 "
138,"PassageNumber",44,44,44
139,"Invocation","O Son of the Throne! ","圣座之子啊！","聖座之子啊！"
140,"MainText","Thy hearing is My hearing, hear thou therewith. Thy sight is My sight, do thou see therewith, that in thine inmost soul thou mayest testify unto My exalted sanctity, and I within Myself may bear witness unto an exalted station for thee. ","你的听觉乃是我的听觉，用它听吧。你的视觉乃是我的视觉，用它看吧。这样，在你的灵魂深处，能印证我的崇高圣洁，而我也能见证你的崇高地位。 ","你的聽覺乃是我的聽覺，用它聽吧。你的視覺乃是我的視覺，用它看吧。這樣，在你的靈魂深處，能印證我的崇高聖潔，而我也能見證你的崇高地位。 "
141,"PassageNumber",45,45,45
142,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
143,"MainText","Seek a martyr’s death in My path, content with My pleasure and thankful for that which I ordain, that thou mayest repose with Me beneath the canopy of majesty behind the tabernacle of glory. ","寻求那殉道者般地死在我的圣道上，满足於我的喜乐，并满心感谢那我所赋予你的，如此，你就能与我在那正义的天篷下与荣耀的圣幕後一齐休憩了。 ","尋求那殉道者般地死在我的聖道上，滿足於我的喜樂，並滿心感謝那我所賦予你的，如此，你就能與我在那正義的天篷下與榮耀的聖幕後一齊休憩了。 "
144,"PassageNumber",46,46,46
145,"Invocation","O Son of Man! ","人子啊！","人子啊！"
146,"MainText","Ponder and reflect. Is it thy wish to die upon thy bed, or to shed thy lifeblood on the dust, a martyr in My path, and so become the manifestation of My command and the revealer of My light in the highest paradise? Judge thou aright, O servant! ","沉思并深思熟虑的想一想，你希望死在床上；还是希望如我圣道上的殉道者将你生命之血流在土里，以作为我诫命的显现者及那最高乐园中我荣光的启示者呢？你自己决定吧，仆人们！ ","沉思並深思熟慮的想一想，你希望死在床上；還是希望如我聖道上的殉道者將你生命之血流在土裡，以作為我誡命的顯現者及那最高樂園中我榮光的啟示者呢？你自己決定吧，僕人們！ "
147,"PassageNumber",47,47,47
148,"Invocation","O Son of Man! ","人子啊！","人子啊！"
149,"MainText","By My beauty! To tinge thy hair with thy blood is greater in My sight than the creation of the universe and the light of both worlds. Strive then to attain this, O servant! ","以我的圣美！用你的血染上你的头发，在我看来，比宇宙的创造和照亮尘世与天国的光辉还更伟大。努力去达成吧，仆人们！ ","以我的聖美！用你的血染上你的頭髮，在我看來，比宇宙的創造和照亮塵世與天國的光輝還更偉大。努力去達成吧，僕人們！ "
150,"PassageNumber",48,48,48
151,"Invocation","O Son of Man! ","人子啊！","人子啊！"
152,"MainText","For everything there is a sign. The sign of love is fortitude under My decree and patience under My trials. ","每件事都有个表徵。爱的表徵乃是我神令下之刚毅，和在我试炼下之忍耐。 ","每件事都有個表徵。愛的表徵乃是我神令下之剛毅，和在我試煉下之忍耐。 "
153,"PassageNumber",49,49,49
154,"Invocation","O Son of Man! ","人子啊！","人子啊！"
155,"MainText","The true lover yearneth for tribulation even as doth the rebel for forgiveness and the sinful for mercy. ","真正的爱人者渴慕着苦难，就如叛徒切望着赦宥，及罪人殷望着慈悲。","真正的愛人者渴慕著苦難，就如叛徒切望著赦宥，及罪人殷望著慈悲。"
156,"PassageNumber",50,50,50
157,"Invocation","O Son of Man! ","人子啊！","人子啊！"
158,"MainText","If adversity befall thee not in My path, how canst thou walk in the ways of them that are content with My pleasure? If trials afflict thee not in thy longing to meet Me, how wilt thou attain the light in thy love for My beauty? ","如果逆境不在我的圣道上降临於你，你怎能跟那些满足於我的喜悦者走在一起呢？如果试炼不在你追寻我的历程中折磨你，你怎能在欣慕我的圣美中获见光明？ ","如果逆境不在我的聖道上降臨於你，你怎能跟那些滿足於我的喜悅者走在一起呢？如果試煉不在你追尋我的歷程中折磨你，你怎能在欣慕我的聖美中獲見光明？ "
159,"PassageNumber",51,51,51
160,"Invocation","O Son of Man! ","人子啊！","人子啊！"
161,"MainText","My calamity is My providence, outwardly it is fire and vengeance, but inwardly it is light and mercy. Hasten thereunto that thou mayest become an eternal light and an immortal spirit. This is My command unto thee, do thou observe it. ","我降予你的苦难乃是我的眷顾，表面上它是火焰与复仇，实际上它是光明与怜悯。赶赴彼此，以让你能成为永生之荣光与不朽的灵。这乃是我给你的诫命，汝当信守不渝。 ","我降予你的苦難乃是我的眷顧，表面上它是火燄與復仇，實際上它是光明與憐憫。趕赴彼此，以讓你能成為永生之榮光與不朽的靈。這乃是我給你的誡命，汝當信守不渝。 "
162,"PassageNumber",52,52,52
163,"Invocation","O Son of Man! ","人子啊！","人子啊！"
164,"MainText","Should prosperity befall thee, rejoice not, and should abasement come upon thee, grieve not, for both shall pass away and be no more. ","当丰足降临於你时，别高兴，当屈辱逼临时亦别忧愁，因为这些都是转眼即逝的。 ","當豐足降臨於你時，別高興，當屈辱逼臨時亦別憂愁，因為這些都是轉眼即逝的。 "
165,"PassageNumber",53,53,53
166,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
167,"MainText","If poverty overtake thee, be not sad; for in time the Lord of wealth shall visit thee. Fear not abasement, for glory shall one day rest on thee. ","如果穷苦压垮了你，不要悲伤；因为那财富之主即会临幸。不要惧怕屈辱，因为荣耀总有一天会降临於你。 ","如果窮苦壓垮了你，不要悲傷；因為那財富之主即會臨幸。不要懼怕屈辱，因為榮耀總有一天會降臨於你。 "
168,"PassageNumber",54,54,54
169,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
170,"MainText","If thine heart be set upon this eternal, imperishable dominion, and this ancient, everlasting life, forsake this mortal and fleeting sovereignty. ","如果你心安置在这永生不灭之天国，及这亘古长存的生命；你就得舍弃这必朽而飞逝的凡界。 ","如果你心安置在這永生不滅之天國，及這亙古長存的生命；你就得捨棄這必朽而飛逝的凡界。 "
171,"PassageNumber",55,55,55
172,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
